id, x, y 
9757, -0.557, 0.517 
9756, -0.694, 0.477 
9751, -0.438, 0.508 
7324, -3.251, -0.452 
7325, 1.081, 0.614 
7327, 1.132, 0.586 
5199, -1.906, 0.351 
7321, 2.322, 0.567 
7323, -0.728, 0.136 
5197, 1.916, 0.087 
5196, 1.446, -0.111 
5191, 0.636, 0.527 
5190, 1.493, -0.914 
8848, -2.174, 0.086 
8849, -2.147, 0.089 
8841, -1.792, -0.638 
8842, -2.147, 0.089 
8843, -2.147, 0.089 
8844, -2.153, 0.089 
8845, -2.153, 0.089 
8846, -2.154, 0.089 
8847, -2.170, 0.088 
7661, -3.400, -0.567 
7660, -3.417, -0.544 
7663, -3.035, -0.816 
7662, -2.365, 0.659 
7665, 1.297, -0.025 
7666, 1.024, -1.323 
5449, 1.963, 0.278 
8850, -2.151, 0.089 
5443, 1.669, 0.418 
5442, -1.934, -0.156 
5441, 2.049, 0.367 
5440, 1.333, -4.122 
5447, 1.977, 0.377 
5446, 1.887, 0.255 
7061, 1.335, -0.758 
7060, 1.092, 0.542 
5893, -2.944, -0.875 
6960, 0.145, -1.041 
6963, 0.851, -0.382 
6962, 0.959, 0.168 
5896, -3.306, -0.628 
8158, 2.101, -1.040 
8159, 2.091, -1.033 
8156, 2.008, -0.866 
8157, 2.102, -1.037 
7599, 2.057, -2.050 
8620, 0.172, 0.232 
8153, -0.140, 3.559 
8150, 1.672, -0.957 
8151, -0.010, 3.156 
5508, -2.306, -1.070 
5509, -2.857, -0.580 
5505, -0.662, 0.159 
7884, 1.194, 0.950 
8712, 1.083, 0.565 
8713, -2.357, -1.157 
8717, 0.857, 0.066 
8718, -2.153, 0.089 
8719, 1.152, 0.206 
7197, 1.101, 0.612 
7195, 2.055, 1.595 
7567, -2.527, -0.113 
6400, -2.816, 0.251 
8028, 0.935, 1.577 
9986, 0.757, 1.209 
8189, -3.257, -0.459 
9984, 0.583, 0.952 
8021, 2.156, -1.181 
8026, 1.727, -1.178 
8027, 2.478, -1.103 
8536, 1.192, -0.681 
8537, 1.192, -0.677 
7441, 1.460, 0.348 
7440, 1.399, 0.357 
5618, -2.949, -0.418 
7442, 2.918, 1.370 
7445, 1.614, 0.470 
6404, 2.422, 0.424 
7447, 2.881, 2.196 
7446, 1.246, 0.502 
7449, 2.805, 2.233 
7448, 2.828, 3.724 
6567, 1.124, 0.620 
5611, -2.890, -0.462 
6561, 1.108, 0.635 
6560, 1.124, 0.620 
6563, 1.688, -1.212 
6562, 1.090, 0.661 
7686, 1.050, 0.984 
7685, -3.115, -1.190 
7684, -2.396, -0.647 
7681, -2.527, -0.113 
7680, -1.214, 0.146 
6408, 2.141, 1.441 
9155, 0.138, 0.478 
5714, -3.181, -0.564 
6467, -0.128, -2.050 
5557, -2.673, -0.335 
8180, 1.079, 0.606 
8444, 1.142, 0.975 
8441, 0.892, 0.383 
8442, 0.892, 0.383 
5710, -3.166, -0.572 
9152, 0.011, 0.490 
9256, -2.317, -0.567 
7539, -2.527, -0.113 
7538, 1.644, 0.891 
9257, -1.960, -0.192 
7535, 1.375, -0.349 
7534, 1.240, -0.471 
7537, 0.851, 0.947 
7536, 1.425, 0.078 
7531, 0.828, 0.960 
7530, 0.905, 0.970 
7533, 1.280, -0.602 
7532, 1.240, -0.471 
9520, 2.178, -0.813 
9253, -2.561, -0.169 
9522, 0.837, -0.857 
6178, 1.504, 0.113 
6176, -0.074, -1.164 
6177, 1.821, -1.496 
6172, 1.079, 0.702 
6170, 1.088, 0.682 
6171, 1.093, 0.673 
